1_1	GUT_GENOME027320_1_1
1_2	GUT_GENOME027320_1_2
1_3	GUT_GENOME027320_1_3
1_4	GUT_GENOME027320_1_4
1_5	GUT_GENOME027320_1_5
1_6	GUT_GENOME027320_1_6
1_7	GUT_GENOME027320_1_7
1_8	GUT_GENOME027320_1_8
1_9	GUT_GENOME027320_1_9
1_10	GUT_GENOME027320_1_10
1_11	GUT_GENOME027320_1_11
1_12	GUT_GENOME027320_1_12
1_13	GUT_GENOME027320_1_13
1_14	GUT_GENOME027320_1_14
1_15	GUT_GENOME027320_1_15
1_16	GUT_GENOME027320_1_16
1_17	GUT_GENOME027320_1_17
1_18	GUT_GENOME027320_1_18
1_19	GUT_GENOME027320_1_19
1_20	GUT_GENOME027320_1_20
1_21	GUT_GENOME027320_1_21
1_22	GUT_GENOME027320_1_22
1_23	GUT_GENOME027320_1_23
1_24	GUT_GENOME027320_1_24
1_25	GUT_GENOME027320_1_25
1_26	GUT_GENOME027320_1_26
1_27	GUT_GENOME027320_1_27
1_28	GUT_GENOME027320_1_28
1_29	GUT_GENOME027320_1_29
1_30	GUT_GENOME027320_1_30
1_31	GUT_GENOME027320_1_31
1_32	GUT_GENOME027320_1_32
1_33	GUT_GENOME027320_1_33
1_34	GUT_GENOME027320_1_34
1_35	GUT_GENOME027320_1_35
1_36	GUT_GENOME027320_1_36
1_37	GUT_GENOME027320_1_37
1_38	GUT_GENOME027320_1_38
1_39	GUT_GENOME027320_1_39
1_40	GUT_GENOME027320_1_40
1_41	GUT_GENOME027320_1_41
1_42	GUT_GENOME027320_1_42
1_43	GUT_GENOME027320_1_43
1_44	GUT_GENOME027320_1_44
1_45	GUT_GENOME027320_1_45
1_46	GUT_GENOME027320_1_46
1_47	GUT_GENOME027320_1_47
1_48	GUT_GENOME027320_1_48
1_49	GUT_GENOME027320_1_49
1_50	GUT_GENOME027320_1_50
1_51	GUT_GENOME027320_1_51
1_52	GUT_GENOME027320_1_52
1_53	GUT_GENOME027320_1_53
1_54	GUT_GENOME027320_1_54
1_55	GUT_GENOME027320_1_55
1_56	GUT_GENOME027320_1_56
1_57	GUT_GENOME027320_1_57
1_58	GUT_GENOME027320_1_58
1_59	GUT_GENOME027320_1_59
1_60	GUT_GENOME027320_1_60
1_61	GUT_GENOME027320_1_61
1_62	GUT_GENOME027320_1_62
1_63	GUT_GENOME027320_1_63
1_64	GUT_GENOME027320_1_64
1_65	GUT_GENOME027320_1_65
1_66	GUT_GENOME027320_1_66
1_67	GUT_GENOME027320_1_67
1_68	GUT_GENOME027320_1_68
1_69	GUT_GENOME027320_1_69
1_70	GUT_GENOME027320_1_70
1_71	GUT_GENOME027320_1_71
1_72	GUT_GENOME027320_1_72
1_73	GUT_GENOME027320_1_73
1_74	GUT_GENOME027320_1_74
1_75	GUT_GENOME027320_1_75
1_76	GUT_GENOME027320_1_76
1_77	GUT_GENOME027320_1_77
1_78	GUT_GENOME027320_1_78
1_79	GUT_GENOME027320_1_79
1_80	GUT_GENOME027320_1_80
1_81	GUT_GENOME027320_1_81
1_82	GUT_GENOME027320_1_82
1_83	GUT_GENOME027320_1_83
1_84	GUT_GENOME027320_1_84
1_85	GUT_GENOME027320_1_85
1_86	GUT_GENOME027320_1_86
1_87	GUT_GENOME027320_1_87
1_88	GUT_GENOME027320_1_88
1_89	GUT_GENOME027320_1_89
1_90	GUT_GENOME027320_1_90
1_91	GUT_GENOME027320_1_91
1_92	GUT_GENOME027320_1_92
1_93	GUT_GENOME027320_1_93
1_94	GUT_GENOME027320_1_94
1_95	GUT_GENOME027320_1_95
1_96	GUT_GENOME027320_1_96
1_97	GUT_GENOME027320_1_97
1_98	GUT_GENOME027320_1_98
1_99	GUT_GENOME027320_1_99
1_100	GUT_GENOME027320_1_100
1_101	GUT_GENOME027320_1_101
1_102	GUT_GENOME027320_1_102
1_103	GUT_GENOME027320_1_103
1_104	GUT_GENOME027320_1_104
1_105	GUT_GENOME027320_1_105
1_106	GUT_GENOME027320_1_106
1_107	GUT_GENOME027320_1_107
1_108	GUT_GENOME027320_1_108
1_109	GUT_GENOME027320_1_109
1_110	GUT_GENOME027320_1_110
1_111	GUT_GENOME027320_1_111
1_112	GUT_GENOME027320_1_112
1_113	GUT_GENOME027320_1_113
1_114	GUT_GENOME027320_1_114
1_115	GUT_GENOME027320_1_115
1_116	GUT_GENOME027320_1_116
1_117	GUT_GENOME027320_1_117
1_118	GUT_GENOME027320_1_118
1_119	GUT_GENOME027320_1_119
1_120	GUT_GENOME027320_1_120
1_121	GUT_GENOME027320_1_121
1_122	GUT_GENOME027320_1_122
1_123	GUT_GENOME027320_1_123
1_124	GUT_GENOME027320_1_124
1_125	GUT_GENOME027320_1_125
1_126	GUT_GENOME027320_1_126
1_127	GUT_GENOME027320_1_127
1_128	GUT_GENOME027320_1_128
1_129	GUT_GENOME027320_1_129
1_130	GUT_GENOME027320_1_130
1_131	GUT_GENOME027320_1_131
1_132	GUT_GENOME027320_1_132
1_133	GUT_GENOME027320_1_133
1_134	GUT_GENOME027320_1_134
1_135	GUT_GENOME027320_1_135
1_136	GUT_GENOME027320_1_136
1_137	GUT_GENOME027320_1_137
1_138	GUT_GENOME027320_1_138
1_139	GUT_GENOME027320_1_139
1_140	GUT_GENOME027320_1_140
1_141	GUT_GENOME027320_1_141
1_142	GUT_GENOME027320_1_142
1_143	GUT_GENOME027320_1_143
1_144	GUT_GENOME027320_1_144
1_145	GUT_GENOME027320_1_145
1_146	GUT_GENOME027320_1_146
1_147	GUT_GENOME027320_1_147
1_148	GUT_GENOME027320_1_148
1_149	GUT_GENOME027320_1_149
1_150	GUT_GENOME027320_1_150
1_151	GUT_GENOME027320_1_151
1_152	GUT_GENOME027320_1_152
1_153	GUT_GENOME027320_1_153
1_154	GUT_GENOME027320_1_154
1_155	GUT_GENOME027320_1_155
1_156	GUT_GENOME027320_1_156
1_157	GUT_GENOME027320_1_157
1_158	GUT_GENOME027320_1_158
1_159	GUT_GENOME027320_1_159
1_160	GUT_GENOME027320_1_160
1_161	GUT_GENOME027320_1_161
1_162	GUT_GENOME027320_1_162
1_163	GUT_GENOME027320_1_163
1_164	GUT_GENOME027320_1_164
1_165	GUT_GENOME027320_1_165
1_166	GUT_GENOME027320_1_166
1_167	GUT_GENOME027320_1_167
1_168	GUT_GENOME027320_1_168
1_169	GUT_GENOME027320_1_169
1_170	GUT_GENOME027320_1_170
1_171	GUT_GENOME027320_1_171
1_172	GUT_GENOME027320_1_172
1_173	GUT_GENOME027320_1_173
1_174	GUT_GENOME027320_1_174
1_175	GUT_GENOME027320_1_175
1_176	GUT_GENOME027320_1_176
1_177	GUT_GENOME027320_1_177
1_178	GUT_GENOME027320_1_178
1_179	GUT_GENOME027320_1_179
1_180	GUT_GENOME027320_1_180
1_181	GUT_GENOME027320_1_181
1_182	GUT_GENOME027320_1_182
1_183	GUT_GENOME027320_1_183
1_184	GUT_GENOME027320_1_184
1_185	GUT_GENOME027320_1_185
1_186	GUT_GENOME027320_1_186
1_187	GUT_GENOME027320_1_187
1_188	GUT_GENOME027320_1_188
1_189	GUT_GENOME027320_1_189
1_190	GUT_GENOME027320_1_190
1_191	GUT_GENOME027320_1_191
1_192	GUT_GENOME027320_1_192
1_193	GUT_GENOME027320_1_193
1_194	GUT_GENOME027320_1_194
1_195	GUT_GENOME027320_1_195
1_196	GUT_GENOME027320_1_196
1_197	GUT_GENOME027320_1_197
1_198	GUT_GENOME027320_1_198
1_199	GUT_GENOME027320_1_199
1_200	GUT_GENOME027320_1_200
1_201	GUT_GENOME027320_1_201
1_202	GUT_GENOME027320_1_202
1_203	GUT_GENOME027320_1_203
1_204	GUT_GENOME027320_1_204
1_205	GUT_GENOME027320_1_205
1_206	GUT_GENOME027320_1_206
1_207	GUT_GENOME027320_1_207
1_208	GUT_GENOME027320_1_208
1_209	GUT_GENOME027320_1_209
1_210	GUT_GENOME027320_1_210
1_211	GUT_GENOME027320_1_211
1_212	GUT_GENOME027320_1_212
2_1	GUT_GENOME027320_2_1
2_2	GUT_GENOME027320_2_2
2_3	GUT_GENOME027320_2_3
2_4	GUT_GENOME027320_2_4
2_5	GUT_GENOME027320_2_5
2_6	GUT_GENOME027320_2_6
2_7	GUT_GENOME027320_2_7
2_8	GUT_GENOME027320_2_8
2_9	GUT_GENOME027320_2_9
2_10	GUT_GENOME027320_2_10
2_11	GUT_GENOME027320_2_11
2_12	GUT_GENOME027320_2_12
2_13	GUT_GENOME027320_2_13
2_14	GUT_GENOME027320_2_14
2_15	GUT_GENOME027320_2_15
2_16	GUT_GENOME027320_2_16
2_17	GUT_GENOME027320_2_17
2_18	GUT_GENOME027320_2_18
2_19	GUT_GENOME027320_2_19
2_20	GUT_GENOME027320_2_20
2_21	GUT_GENOME027320_2_21
2_22	GUT_GENOME027320_2_22
2_23	GUT_GENOME027320_2_23
2_24	GUT_GENOME027320_2_24
2_25	GUT_GENOME027320_2_25
2_26	GUT_GENOME027320_2_26
2_27	GUT_GENOME027320_2_27
2_28	GUT_GENOME027320_2_28
2_29	GUT_GENOME027320_2_29
2_30	GUT_GENOME027320_2_30
2_31	GUT_GENOME027320_2_31
2_32	GUT_GENOME027320_2_32
