genome	contig	len	mism	aTR	nonA_count	nonAfrac	A_pct	pass_len	pass_aTR	pass_nonAfrac
GUT_GENOME027284	GUT_GENOME027284_3	110	12	12	0	0.000	100.00	YES	YES	YES
GUT_GENOME027320	GUT_GENOME027320_11	118	17	15	2	0.118	88.24	YES	YES	YES
GUT_GENOME065719	GUT_GENOME065719_2	130	14	14	0	0.000	100.00	YES	YES	YES
GUT_GENOME066135	GUT_GENOME066135_13	111	13	13	0	0.000	100.00	YES	YES	YES
GUT_GENOME141191	GUT_GENOME141191_3	120	17	15	2	0.118	88.24	YES	YES	YES
GUT_GENOME065705	GUT_GENOME065705_1	114	8	8	0	0.000	100.00	YES	YES	YES
