GUT_GENOME065719_1_1	1_1
GUT_GENOME065719_1_2	1_2
GUT_GENOME065719_1_3	1_3
GUT_GENOME065719_1_4	1_4
GUT_GENOME065719_1_5	1_5
GUT_GENOME065719_1_6	1_6
GUT_GENOME065719_1_7	1_7
GUT_GENOME065719_1_8	1_8
GUT_GENOME065719_1_9	1_9
GUT_GENOME065719_1_10	1_10
GUT_GENOME065719_1_11	1_11
GUT_GENOME065719_1_12	1_12
GUT_GENOME065719_1_13	1_13
GUT_GENOME065719_1_14	1_14
GUT_GENOME065719_1_15	1_15
GUT_GENOME065719_1_16	1_16
GUT_GENOME065719_1_17	1_17
GUT_GENOME065719_1_18	1_18
GUT_GENOME065719_1_19	1_19
GUT_GENOME065719_1_20	1_20
GUT_GENOME065719_1_21	1_21
GUT_GENOME065719_1_22	1_22
GUT_GENOME065719_1_23	1_23
GUT_GENOME065719_1_24	1_24
GUT_GENOME065719_1_25	1_25
GUT_GENOME065719_1_26	1_26
GUT_GENOME065719_1_27	1_27
GUT_GENOME065719_1_28	1_28
GUT_GENOME065719_1_29	1_29
GUT_GENOME065719_1_30	1_30
GUT_GENOME065719_1_31	1_31
GUT_GENOME065719_1_32	1_32
GUT_GENOME065719_1_33	1_33
GUT_GENOME065719_1_34	1_34
GUT_GENOME065719_1_35	1_35
GUT_GENOME065719_1_36	1_36
GUT_GENOME065719_1_37	1_37
GUT_GENOME065719_1_38	1_38
GUT_GENOME065719_1_39	1_39
GUT_GENOME065719_1_40	1_40
GUT_GENOME065719_1_41	1_41
GUT_GENOME065719_1_42	1_42
GUT_GENOME065719_1_43	1_43
GUT_GENOME065719_1_44	1_44
GUT_GENOME065719_1_45	1_45
GUT_GENOME065719_1_46	1_46
GUT_GENOME065719_1_47	1_47
GUT_GENOME065719_1_48	1_48
GUT_GENOME065719_1_49	1_49
GUT_GENOME065719_1_50	1_50
GUT_GENOME065719_1_51	1_51
GUT_GENOME065719_1_52	1_52
GUT_GENOME065719_1_53	1_53
GUT_GENOME065719_1_54	1_54
GUT_GENOME065719_1_55	1_55
GUT_GENOME065719_1_56	1_56
GUT_GENOME065719_1_57	1_57
GUT_GENOME065719_1_58	1_58
GUT_GENOME065719_1_59	1_59
GUT_GENOME065719_1_60	1_60
GUT_GENOME065719_1_61	1_61
GUT_GENOME065719_1_62	1_62
GUT_GENOME065719_1_63	1_63
GUT_GENOME065719_1_64	1_64
GUT_GENOME065719_1_65	1_65
GUT_GENOME065719_1_66	1_66
GUT_GENOME065719_1_67	1_67
GUT_GENOME065719_1_68	1_68
GUT_GENOME065719_1_69	1_69
GUT_GENOME065719_1_70	1_70
GUT_GENOME065719_1_71	1_71
GUT_GENOME065719_1_72	1_72
GUT_GENOME065719_1_73	1_73
GUT_GENOME065719_1_74	1_74
GUT_GENOME065719_1_75	1_75
GUT_GENOME065719_1_76	1_76
GUT_GENOME065719_1_77	1_77
GUT_GENOME065719_1_78	1_78
GUT_GENOME065719_1_79	1_79
GUT_GENOME065719_1_80	1_80
GUT_GENOME065719_1_81	1_81
GUT_GENOME065719_1_82	1_82
GUT_GENOME065719_1_83	1_83
GUT_GENOME065719_1_84	1_84
GUT_GENOME065719_1_85	1_85
GUT_GENOME065719_1_86	1_86
GUT_GENOME065719_1_87	1_87
GUT_GENOME065719_1_88	1_88
GUT_GENOME065719_1_89	1_89
GUT_GENOME065719_1_90	1_90
GUT_GENOME065719_1_91	1_91
GUT_GENOME065719_2_1	2_1
GUT_GENOME065719_2_2	2_2
GUT_GENOME065719_2_3	2_3
GUT_GENOME065719_2_4	2_4
GUT_GENOME065719_2_5	2_5
GUT_GENOME065719_2_6	2_6
GUT_GENOME065719_2_7	2_7
GUT_GENOME065719_2_8	2_8
GUT_GENOME065719_2_9	2_9
GUT_GENOME065719_2_10	2_10
GUT_GENOME065719_2_11	2_11
GUT_GENOME065719_2_12	2_12
GUT_GENOME065719_2_13	2_13
GUT_GENOME065719_2_14	2_14
GUT_GENOME065719_2_15	2_15
GUT_GENOME065719_2_16	2_16
GUT_GENOME065719_2_17	2_17
GUT_GENOME065719_2_18	2_18
GUT_GENOME065719_2_19	2_19
GUT_GENOME065719_2_20	2_20
GUT_GENOME065719_2_21	2_21
GUT_GENOME065719_2_22	2_22
GUT_GENOME065719_2_23	2_23
GUT_GENOME065719_2_24	2_24
GUT_GENOME065719_2_25	2_25
GUT_GENOME065719_2_26	2_26
GUT_GENOME065719_2_27	2_27
GUT_GENOME065719_2_28	2_28
GUT_GENOME065719_2_29	2_29
GUT_GENOME065719_2_30	2_30
GUT_GENOME065719_2_31	2_31
GUT_GENOME065719_2_32	2_32
GUT_GENOME065719_2_33	2_33
GUT_GENOME065719_2_34	2_34
GUT_GENOME065719_2_35	2_35
GUT_GENOME065719_2_36	2_36
GUT_GENOME065719_2_37	2_37
GUT_GENOME065719_2_38	2_38
GUT_GENOME065719_2_39	2_39
GUT_GENOME065719_2_40	2_40
GUT_GENOME065719_2_41	2_41
GUT_GENOME065719_2_42	2_42
GUT_GENOME065719_2_43	2_43
GUT_GENOME065719_2_44	2_44
GUT_GENOME065719_2_45	2_45
GUT_GENOME065719_2_46	2_46
GUT_GENOME065719_2_47	2_47
GUT_GENOME065719_2_48	2_48
GUT_GENOME065719_2_49	2_49
GUT_GENOME065719_2_50	2_50
GUT_GENOME065719_2_51	2_51
GUT_GENOME065719_2_52	2_52
GUT_GENOME065719_2_53	2_53
GUT_GENOME065719_2_54	2_54
GUT_GENOME065719_2_55	2_55
GUT_GENOME065719_2_56	2_56
GUT_GENOME065719_2_57	2_57
GUT_GENOME065719_2_58	2_58
GUT_GENOME065719_2_59	2_59
GUT_GENOME065719_2_60	2_60
GUT_GENOME065719_2_61	2_61
GUT_GENOME065719_2_62	2_62
GUT_GENOME065719_2_63	2_63
GUT_GENOME065719_2_64	2_64
GUT_GENOME065719_2_65	2_65
GUT_GENOME065719_2_66	2_66
GUT_GENOME065719_2_67	2_67
GUT_GENOME065719_2_68	2_68
GUT_GENOME065719_2_69	2_69
GUT_GENOME065719_2_70	2_70
GUT_GENOME065719_2_71	2_71
GUT_GENOME065719_2_72	2_72
GUT_GENOME065719_2_73	2_73
GUT_GENOME065719_2_74	2_74
GUT_GENOME065719_2_75	2_75
GUT_GENOME065719_2_76	2_76
GUT_GENOME065719_2_77	2_77
GUT_GENOME065719_2_78	2_78
GUT_GENOME065719_2_79	2_79
GUT_GENOME065719_2_80	2_80
GUT_GENOME065719_2_81	2_81
GUT_GENOME065719_2_82	2_82
GUT_GENOME065719_2_83	2_83
GUT_GENOME065719_2_84	2_84
GUT_GENOME065719_2_85	2_85
GUT_GENOME065719_2_86	2_86
GUT_GENOME065719_2_87	2_87
GUT_GENOME065719_2_88	2_88
GUT_GENOME065719_2_89	2_89
GUT_GENOME065719_2_90	2_90
GUT_GENOME065719_2_91	2_91
GUT_GENOME065719_2_92	2_92
GUT_GENOME065719_2_93	2_93
GUT_GENOME065719_2_94	2_94
