genome	contig	len	aTR	overall_A_to_N_rate_percent
GUT_GENOME027284	GUT_GENOME027284_3	110	12	10.91
GUT_GENOME027320	GUT_GENOME027320_11	118	15	12.71
GUT_GENOME065719	GUT_GENOME065719_2	130	14	10.77
GUT_GENOME066135	GUT_GENOME066135_13	111	13	11.71
GUT_GENOME141191	GUT_GENOME141191_3	120	15	12.50
GUT_GENOME065705	GUT_GENOME065705_1	114	8	7.02
