genome	contig	TR_s	TR_e	VR_s	VR_e	mism	aTR	A_pct
GUT_GENOME027284	GUT_GENOME027284_3	105607	105716	105260	105369	12	12	100.00
GUT_GENOME027320	GUT_GENOME027320_11	72387	72504	72100	72217	17	15	88.24
GUT_GENOME065719	GUT_GENOME065719_2	54390	54519	53532	53661	14	14	100.00
GUT_GENOME066135	GUT_GENOME066135_13	1794	1904	1505	1615	13	13	100.00
GUT_GENOME141191	GUT_GENOME141191_3	52656	52775	52462	52581	17	15	88.24
GUT_GENOME065705	GUT_GENOME065705_1	35281	35394	25774	25887	8	8	100.00
