genome	contig	mism	aTR	A_to_N_mutation_percent
GUT_GENOME027284	GUT_GENOME027284_3	12	12	100.00
GUT_GENOME027320	GUT_GENOME027320_11	17	15	88.24
GUT_GENOME065719	GUT_GENOME065719_2	14	14	100.00
GUT_GENOME066135	GUT_GENOME066135_13	13	13	100.00
GUT_GENOME141191	GUT_GENOME141191_3	17	15	88.24
GUT_GENOME065705	GUT_GENOME065705_1	8	8	100.00
